"Current","Previous","Estimate","Error"
"Virginia","District of Columbia ",6854,1711
"Washington","District of Columbia ",358,254
"West Virginia","District of Columbia ",300,231
"Wisconsin","District of Columbia ",123,170
"Wyoming","District of Columbia ",0,189
"Puerto Rico","District of Columbia ",212,315
"Alabama","Florida",20063,4141
"Alaska","Florida",1188,476
"Arizona","Florida",3732,1842
"Arkansas","Florida",3067,1273
"California","Florida",22094,4333
"Colorado","Florida",8075,2090
"Connecticut","Florida",4771,1275
"Delaware","Florida",810,449
"District of Columbia ","Florida",1254,651
"Florida","Florida","N/A","N/A"
"Georgia","Florida",42666,5232
"Hawaii","Florida",3160,1311
"Idaho","Florida",1733,1210
"Illinois","Florida",17548,3370
"Indiana","Florida",8595,3053
"Iowa","Florida",707,455
"Kansas","Florida",1581,790
"Kentucky","Florida",7400,1965
"Louisiana","Florida",5193,2120
"Maine","Florida",4304,1908
"Maryland","Florida",7825,1691
"Massachusetts","Florida",11396,2715
"Michigan","Florida",17712,3844
"Minnesota","Florida",2820,806
"Mississippi","Florida",6152,2463
"Missouri","Florida",4513,1398
"Montana","Florida",291,235
"Nebraska","Florida",1105,499
"Nevada","Florida",2923,1608
"New Hampshire","Florida",1970,813
"New Jersey","Florida",12907,3313
"New Mexico","Florida",2806,1557
"New York","Florida",29344,4718
"North Carolina","Florida",28044,4471
"North Dakota","Florida",459,303
"Ohio","Florida",16492,3173
"Oklahoma","Florida",6056,1588
"Oregon","Florida",3384,1934
"Pennsylvania","Florida",19299,3790
"Rhode Island","Florida",2230,915
"South Carolina","Florida",15476,4230
"South Dakota","Florida",101,102
"Tennessee","Florida",15491,3282
"Texas","Florida",35777,6888
"Utah","Florida",1643,960
"Vermont","Florida",366,199
"Virginia","Florida",17773,3494
"Washington","Florida",6094,1777
"West Virginia","Florida",2949,1076
"Wisconsin","Florida",4338,1103
"Wyoming","Florida",1525,1206
"Puerto Rico","Florida",6614,2336
"Alabama","Georgia",19346,3711
"Alaska","Georgia",556,419
"Arizona","Georgia",2206,1147
"Arkansas","Georgia",1446,759
"California","Georgia",13303,3042
"Colorado","Georgia",3250,1254
"Connecticut","Georgia",2000,988
"Delaware","Georgia",639,422
"District of Columbia ","Georgia",937,572
"Florida","Georgia",38658,6270
"Georgia","Georgia","N/A","N/A"
"Hawaii","Georgia",2519,956
"Idaho","Georgia",275,234
"Illinois","Georgia",6042,2192
"Indiana","Georgia",2543,1176
"Iowa","Georgia",1938,1485
"Kansas","Georgia",1146,666
"Kentucky","Georgia",2725,892
"Louisiana","Georgia",4425,1541
"Maine","Georgia",507,415
"Maryland","Georgia",7113,1789
"Massachusetts","Georgia",3264,1666
"Michigan","Georgia",4254,1566
"Minnesota","Georgia",840,467
"Mississippi","Georgia",3136,1397
"Missouri","Georgia",2964,972
"Montana","Georgia",231,193
"Nebraska","Georgia",434,358
"Nevada","Georgia",1731,909
"New Hampshire","Georgia",535,449
"New Jersey","Georgia",4268,2025
"New Mexico","Georgia",676,406
"New York","Georgia",10584,2320
"North Carolina","Georgia",16192,3163
"North Dakota","Georgia",364,410
"Ohio","Georgia",4290,1143
"Oklahoma","Georgia",3514,1642
"Oregon","Georgia",1946,1914
"Pennsylvania","Georgia",4627,1185
"Rhode Island","Georgia",476,361
"South Carolina","Georgia",16355,2798
"South Dakota","Georgia",69,104
"Tennessee","Georgia",17507,4897
"Texas","Georgia",17401,3608
"Utah","Georgia",1052,595
"Vermont","Georgia",101,99
"Virginia","Georgia",8715,1962
"Washington","Georgia",8705,3348
"West Virginia","Georgia",1296,898
"Wisconsin","Georgia",1745,1106
"Wyoming","Georgia",46,80
"Puerto Rico","Georgia",247,195
"Alabama","Hawaii",1259,1292
"Alaska","Hawaii",1366,703
"Arizona","Hawaii",2199,1109
"Arkansas","Hawaii",13,27
"California","Hawaii",9864,2683
"Colorado","Hawaii",1852,832
"Connecticut","Hawaii",587,523
"Delaware","Hawaii",201,171
"District of Columbia ","Hawaii",372,396
"Florida","Hawaii",3639,2081
"Georgia","Hawaii",1006,883
"Hawaii","Hawaii","N/A","N/A"
"Idaho","Hawaii",254,314
"Illinois","Hawaii",1269,735
"Indiana","Hawaii",1057,717
"Iowa","Hawaii",299,454
"Kansas","Hawaii",287,282
"Kentucky","Hawaii",63,80
"Louisiana","Hawaii",688,808
"Maine","Hawaii",177,214
"Maryland","Hawaii",1170,815
"Massachusetts","Hawaii",733,860
"Michigan","Hawaii",630,469
"Minnesota","Hawaii",901,634
"Mississippi","Hawaii",369,429
"Missouri","Hawaii",871,517
"Montana","Hawaii",32,35
"Nebraska","Hawaii",275,215
"Nevada","Hawaii",4093,2643
"New Hampshire","Hawaii",0,184
"New Jersey","Hawaii",264,307
"New Mexico","Hawaii",81,128
"New York","Hawaii",1002,973
"North Carolina","Hawaii",1806,1362
"North Dakota","Hawaii",138,216
"Ohio","Hawaii",1044,694
"Oklahoma","Hawaii",140,148
"Oregon","Hawaii",2491,1173
"Pennsylvania","Hawaii",495,369
"Rhode Island","Hawaii",0,207
"South Carolina","Hawaii",712,626
"South Dakota","Hawaii",0,155
"Tennessee","Hawaii",179,230
"Texas","Hawaii",6106,2623
"Utah","Hawaii",1701,997
"Vermont","Hawaii",143,85
"Virginia","Hawaii",2917,1400
"Washington","Hawaii",5940,2264
"West Virginia","Hawaii",147,248
"Wisconsin","Hawaii",1108,1597
"Wyoming","Hawaii",0,189
"Puerto Rico","Hawaii",0,210
"Alabama","Idaho",137,173
"Alaska","Idaho",475,253
"Arizona","Idaho",2190,1183
"Arkansas","Idaho",179,271
"California","Idaho",4796,1560
"Colorado","Idaho",1578,766
"Connecticut","Idaho",133,224
"Delaware","Idaho",441,347
"District of Columbia ","Idaho",68,113
"Florida","Idaho",312,268
"Georgia","Idaho",126,139
"Hawaii","Idaho",112,199
"Idaho","Idaho","N/A","N/A"
"Illinois","Idaho",393,356
"Indiana","Idaho",1368,1278
"Iowa","Idaho",161,175
"Kansas","Idaho",264,358
"Kentucky","Idaho",36,69
"Louisiana","Idaho",230,269
"Maine","Idaho",0,157
"Maryland","Idaho",389,366
"Massachusetts","Idaho",412,695
"Michigan","Idaho",882,675
"Minnesota","Idaho",402,328
"Mississippi","Idaho",55,82
"Missouri","Idaho",560,439
"Montana","Idaho",1543,1005
"Nebraska","Idaho",506,464
"Nevada","Idaho",3929,1734
"New Hampshire","Idaho",0,184
"New Jersey","Idaho",256,262
"New Mexico","Idaho",355,326
"New York","Idaho",434,377
"North Carolina","Idaho",675,615
"North Dakota","Idaho",1209,817
"Ohio","Idaho",312,223
"Oklahoma","Idaho",21,35
"Oregon","Idaho",6236,2097
"Pennsylvania","Idaho",236,223
"Rhode Island","Idaho",107,199
"South Carolina","Idaho",55,68
"South Dakota","Idaho",186,262
"Tennessee","Idaho",0,208
"Texas","Idaho",4379,3119
"Utah","Idaho",7538,3248
